企業コード,企業名,コロナ前平均,コロナ後平均,成長率
7203,トヨタ自動車(株),7224,7881,1.09
9984,ソフトバンクグループ(株),4697,8806,1.87
6758,ソニーグループ(株),6287,10782,1.71
9432,日本電信電話(株),2619,2710,1.03
9983,(株)ファーストリテイリング,65529,89864,1.37
6098,(株)リクルートホールディングス,3605,4773,1.32
7974,任天堂(株),40875,62206,1.52
8306,(株)三菱ＵＦＪフィナンシャル・グループ,544,520,0.96
9433,ＫＤＤＩ(株),2935,3239,1.1
4063,信越化学工業(株),11054,17884,1.62
8035,東京エレクトロン(株),19775,40987,2.07
6594,日本電産(株),7414,13276,1.79
4519,中外製薬(株),2738,4874,1.78
9434,ソフトバンク(株),1472,1372,0.93
6367,ダイキン工業(株),14415,22648,1.57
7267,ホンダ,2857,3050,1.07
6902,(株)デンソー,4727,6325,1.34
4661,(株)オリエンタルランド,15013,16873,1.12
4502,武田薬品工業(株),3924,3770,0.96
6981,(株)村田製作所,5361,9147,1.71
6501,(株)日立製作所,4041,4598,1.14
8316,(株)三井住友フィナンシャルグループ,3801,3530,0.93
6954,ファナック(株),19886,26366,1.33
7741,ＨＯＹＡ(株),8875,13176,1.48
8001,伊藤忠商事(株),2220,3136,1.41
2413,エムスリー(株),2479,8623,3.48
4568,第一三共(株),2223,3318,1.49
6273,ＳＭＣ(株),44007,64396,1.46
8058,三菱商事(株),2803,2797,1.0
2914,ＪＴ,2412,2082,0.86
8411,(株)みずほフィナンシャルグループ,1621,1470,0.91
7182,(株)ゆうちょ銀行,1058,951,0.9
3382,(株)セブン＆アイ・ホールディングス,3944,3988,1.01
8031,三井物産(株),1808,2071,1.15
6178,日本郵政(株),1059,876,0.83
4901,富士フイルムホールディングス(株),5029,6123,1.22
4612,日本ペイントホールディングス(株),1040,1948,1.87
6702,富士通(株),8729,15263,1.75
8766,東京海上ホールディングス(株),5742,5352,0.93
6503,三菱電機(株),1443,1607,1.11
5108,(株)ブリヂストン,4241,4012,0.95
7751,キヤノン(株),2988,2231,0.75
9022,東海旅客鉄道(株),22024,15506,0.7
4503,アステラス製薬(株),1627,1661,1.02
7733,オリンパス(株),1402,2207,1.57
4543,テルモ(株),3415,4149,1.21
4452,花王(株),8284,7538,0.91
4911,(株)資生堂,8230,7440,0.9
6301,コマツ,2494,3014,1.21
6201,(株)豊田自動織機,6095,8732,1.43
6752,パナソニック(株),919,1294,1.41
6326,(株)クボタ,1682,2344,1.39
9020,東日本旅客鉄道(株),10132,7186,0.71
8113,ユニ・チャーム(株),3369,4755,1.41
8267,イオン(株),2033,3200,1.57
6971,京セラ(株),6937,6715,0.97
8750,第一生命ホールディングス(株),1657,1786,1.08
8591,オリックス(株),1661,1716,1.03
4578,大塚ホールディングス(株),4306,4444,1.03
9613,(株)ＮＴＴデータ,1423,1552,1.09
8801,三井不動産(株),2632,2299,0.87
7269,スズキ(株),4644,4976,1.07
7201,日産自動車(株),702,554,0.79
3659,(株)ネクソン,1478,3295,2.23
7309,(株)シマノ,16413,24939,1.52
6869,シスメックス(株),7264,11583,1.59
9843,(株)ニトリホールディングス,15527,21015,1.35
1925,大和ハウス工業(株),3366,3187,0.95
4523,エーザイ(株),6452,7591,1.18
4307,(株)野村総合研究所,2091,3479,1.66
6502,(株)東芝,3480,3438,0.99
6723,ルネサスエレクトロニクス(株),660,1147,1.74
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),3514,3159,0.9
4755,楽天グループ(株),1058,1153,1.09
9735,セコム(株),9366,9565,1.02
6920,レーザーテック(株),3370,13513,4.01
2503,キリンホールディングス(株),2319,2212,0.95
6857,(株)アドバンテスト,4452,8584,1.93
8604,野村ホールディングス(株),450,583,1.3
8053,住友商事(株),1646,1448,0.88
5401,日本製鉄(株),1640,1515,0.92
6762,ＴＤＫ(株),9689,15351,1.58
6645,オムロン(株),5844,9019,1.54
4151,協和キリン(株),2049,3019,1.47
8015,豊田通商(株),3501,4271,1.22
8830,住友不動産(株),3965,3508,0.88
7832,(株)バンダイナムコホールディングス,6204,8699,1.4
4507,塩野義製薬(株),6146,5725,0.93
3407,旭化成(株),1131,1136,1.0
9143,ＳＧホールディングス(株),1394,2677,1.92
1928,積水ハウス(株),2069,2109,1.02
5020,ＥＮＥＯＳホールディングス(株),496,430,0.87
6586,(株)マキタ,3490,5027,1.44
7259,(株)アイシン,3698,3515,0.95
5713,住友金属鉱山(株),3260,4603,1.41
6506,(株)安川電機,3797,5272,1.39
6701,ＮＥＣ,4441,6003,1.35
2802,味の素(株),1904,2286,1.2
8697,(株)日本取引所グループ,1765,2560,1.45
5802,住友電気工業(株),1426,1490,1.04
7532,(株)パン・パシフィック・インターナショナルホールディングス,1730,2464,1.42
4188,(株)三菱ケミカルホールディングス,783,717,0.92
4528,小野薬品工業(株),2087,3046,1.46
9202,ＡＮＡホールディングス(株),3668,2425,0.66
6479,ミネベアミツミ(株),1893,2437,1.29
6988,日東電工(株),5496,9113,1.66
7951,ヤマハ(株),5236,6037,1.15
3064,(株)ＭｏｎｏｔａＲＯ,1365,2887,2.12
4716,日本オラクル(株),9133,11732,1.28
6753,シャープ(株),1333,1773,1.33
2587,サントリー食品インターナショナル(株),4642,3818,0.82
6146,(株)ディスコ,20806,34355,1.65
3402,東レ(株),777,658,0.85
9021,西日本旅客鉄道(株),9166,5728,0.62
7181,(株)かんぽ生命保険,1788,2101,1.18
8308,(株)りそなホールディングス,456,409,0.9
3092,(株)ＺＯＺＯ,2181,3047,1.4
9064,ヤマトホールディングス(株),1934,2780,1.44
7276,(株)小糸製作所,5442,7068,1.3
7011,三菱重工業(株),4383,3061,0.7
6383,(株)ダイフク,5814,11579,1.99
7202,いすゞ自動車(株),1231,1065,0.87
7701,(株)島津製作所,2855,3920,1.37
8951,日本ビルファンド投資法人,788257,623074,0.79
1605,(株)ＩＮＰＥＸ,987,672,0.68
7272,ヤマハ発動機(株),2005,2334,1.16
5201,ＡＧＣ(株),3588,3978,1.11
6965,浜松ホトニクス(株),4125,6243,1.51
4751,(株)サイバーエージェント,1015,1769,1.74
9201,日本航空(株),3382,2155,0.64
8601,(株)大和証券グループ本社,495,515,1.04
6963,ローム(株),8098,10415,1.29
4922,(株)コーセー,17826,16654,0.93
5332,ＴＯＴＯ(株),4306,6239,1.45
9007,小田急電鉄(株),2599,3114,1.2
2269,明治ホールディングス(株),7639,7193,0.94
2267,(株)ヤクルト本社,6205,5360,0.86
4005,住友化学(株),492,482,0.98
9962,(株)ミスミグループ本社,2579,3322,1.29
9766,コナミホールディングス(株),4831,6338,1.31
9435,(株)光通信,24417,23007,0.94
3769,ＧＭＯペイメントゲートウェイ(株),7554,14375,1.9
9502,中部電力(株),1555,1314,0.85
9503,関西電力(株),1272,1055,0.83
7752,(株)リコー,1040,899,0.86
