シンボル,企業名,国名,コロナ前平均,コロナ後平均,成長率
AAPL,Apple,USA,57,127,2.23
2222.SR,SaudiAramco,S. Arabia,33,35,1.06
MSFT,Microsoft,USA,141,230,1.63
AMZN,Amazon,USA,1818,3199,1.76
GOOG,AlphabetGoogle,USA,1215,1957,1.61
FB,Facebook,USA,190,278,1.46
TCEHY,Tencent,China,43,82,1.91
BRK-A,BerkshireHathaway,USA,316353,363175,1.15
BABA,Alibaba,China,177,250,1.41
TSLA,Tesla,USA,54,679,12.57
TSM,TSMC,Taiwan,47,115,2.45
V,Visa,USA,178,212,1.19
JPM,JPMorganChase,USA,119,136,1.14
005930.KS,Samsung,S. Korea,48256,78628,1.63
JNJ,JohnsonJohnson,USA,134,158,1.18
600519.SS,KweichowMoutai,China,1086,1989,1.83
NVDA,NVIDIA,USA,183,546,2.98
LVMUY,LVMH,France,84,127,1.51
WMT,Walmart,USA,115,142,1.23
UNH,UnitedHealth,USA,250,351,1.4
BAC,BankofAmerica,USA,30,33,1.1
MA,Mastercard,USA,276,349,1.26
NSRGY,Nestlé,Switzerland,106,113,1.07
HD,HomeDepot,USA,220,281,1.28
PG,ProcterGamble,USA,119,134,1.13
DIS,WaltDisney,USA,139,174,1.25
PYPL,PayPal,USA,108,241,2.23
RHHBY,Roche,Switzerland,36,42,1.17
ASML,ASML,Netherlands,241,531,2.2
1398.HK,ICBC,China,5,5,1.0
CMCSA,Comcast,USA,44,52,1.18
XOM,ExxonMobil,USA,71,49,0.69
OR.PA,LOréal,France,250,313,1.25
TM,Toyota,Japan,134,149,1.11
MPNGF,Meituan,China,10,42,4.2
KO,CocaCola,USA,53,52,0.98
ADBE,Adobe,USA,291,479,1.65
VZ,Verizon,USA,59,58,0.98
ORCL,Oracle,USA,55,65,1.18
INTC,Intel,USA,52,56,1.08
3968.HK,CMBank,China,38,56,1.47
CSCO,Cisco,USA,50,46,0.92
NFLX,Netflix,USA,312,522,1.67
PFE,Pfizer,USA,37,37,1.0
CRM,Salesforce,USA,154,229,1.49
NKE,Nike,USA,89,137,1.54
T,ATT,USA,36,29,0.81
CVX,Chevron,USA,120,94,0.78
CICHY,ChinaConstructionBank,China,16,16,1.0
PEP,Pepsico,USA,134,141,1.05
RELIANCE.NS,RelianceIndustries,India,1339,1996,1.49
PNGAY,PingAnInsurance,China,23,24,1.04
NVS,Novartis,Switzerland,90,89,0.99
ABBV,AbbVie,USA,76,105,1.38
WFC,WellsFargo,USA,49,34,0.69
AVGO,Broadcom,USA,291,443,1.52
MRK,Merck,USA,85,78,0.92
LLY,EliLilly,USA,114,179,1.57
ABT,AbbottLaboratories,USA,84,116,1.38
000858.SZ,WuliangyeYibin,China,127,279,2.2
BHP,BHPGroup,Australia,52,68,1.31
UPS,UnitedParcelService,USA,114,167,1.46
NVO,NovoNordisk,Denmark,53,70,1.32
ACN,Accenture,Ireland,193,259,1.34
SBRCY,Sberbank,Russia,15,15,1.0
ACGBY,AgriculturalBankofChina,China,10,9,0.9
TMO,ThermoFisherScientific,USA,293,476,1.62
TXN,TexasInstruments,USA,122,172,1.41
TMUS,TMobileUS,USA,78,128,1.64
PDD,Pinduoduo,China,30,153,5.1
MCD,McDonald,USA,206,217,1.05
MS,MorganStanley,USA,45,72,1.6
DHR,Danaher,USA,141,230,1.63
PRX.VI,Prosus,Netherlands,64,95,1.48
VOW3.DE,Volkswagen,Germany,159,176,1.11
COST,Costco,USA,285,361,1.27
MDT,Medtronic,Ireland,106,117,1.1
C,Citigroup,USA,70,64,0.91
SAP,SAP,Germany,128,127,0.99
HON,Honeywell,USA,171,209,1.22
UL,Unilever,Netherlands,61,58,0.95
TCS.NS,Tata,India,2153,3002,1.39
LIN,Linde,UK,198,262,1.32
AAIGF,AIA,Hong Kong,10,12,1.2
300750.SZ,CATL,China,76,324,4.26
RYDAF,Shell,Netherlands,30,19,0.63
SHOP,Shopify,Canada,335,1149,3.43
BUD,AnheuserBuschInbev,Belgium,89,66,0.74
PM,PhilipMorris,USA,80,84,1.05
QCOM,QUALCOMM,USA,78,144,1.85
BA,Boeing,USA,356,221,0.62
UNP,UnionPacificCorporation,USA,169,209,1.24
RY,RoyalBankOfCanada,Canada,79,86,1.09
AZN,Astrazeneca,UK,44,51,1.16
HESAF,Hermès,France,709,1092,1.54
CHDRF,Dior,France,498,559,1.12
BMY,BristolMyersSquibb,USA,51,63,1.24
RIO,RioTinto,UK,55,78,1.42
NEE,NexteraEnergy,USA,56,77,1.38
SCHW,CharlesSchwab,USA,42,58,1.38
CBA.AX,CommonwealthBank,Australia,80,84,1.05
BLK,BlackRock,USA,458,726,1.59
LOW,LowesCompanies,USA,108,172,1.59
AMGN,Amgen,USA,202,237,1.17
RTX,RaytheonTechnologies,USA,86,73,0.85
CAT,Caterpillar,USA,133,200,1.5
SE,SeaGarena,Singapore,33,219,6.64
SBUX,Starbucks,USA,88,105,1.19
SIEGY,Siemens,Germany,57,77,1.35
TD,TorontoDominionBank,Canada,57,59,1.04
AXP,AmericanExpress,USA,121,129,1.07
PTR,PetroChina,China,51,34,0.67
HSBC,HSBC,UK,39,28,0.72
GS,GoldmanSachs,USA,210,289,1.38
SNE,Sony,Japan,58,102,1.76
LFC,ChinaLifeInsurance,China,12,11,0.92
IBM,IBM,USA,138,126,0.91
CHTR,CharterCommunications,USA,426,634,1.49
0941.HK,ChinaMobile,Hong Kong,66,49,0.74
TOT,Total,France,53,44,0.83
AMAT,AppliedMaterials,USA,51,104,2.04
SFTBF,SoftBank,Japan,49,83,1.69
GE,GeneralElectric,USA,10,12,1.2
INTU,Intuit,USA,267,381,1.43
IDEXY,Inditex,Spain,15,16,1.07
KYCCF,Keyence,Japan,313,508,1.62
AMT,AmericanTower,USA,217,229,1.06
TCL.AX,Transurban,Australia,15,14,0.93
MMM,3M,USA,168,180,1.07
JD,JingdongMall,China,31,87,2.81
VALE,Vale,Brazil,12,17,1.42
HDB,HDFCBank,India,60,74,1.23
KER.PA,Kering,France,496,580,1.17
DEO,Diageo,UK,166,163,0.98
CVS,CVSHealth,USA,63,72,1.14
TGT,Target,USA,103,184,1.79
DE,DeereCompany,USA,165,312,1.89
EL,EsteeLauder,USA,191,271,1.42
ALIZF,Allianz,Germany,235,242,1.03
LMT,LockheedMartin,USA,376,356,0.95
EADSF,Airbus,Netherlands,140,112,0.8
DAI.DE,Daimler,Germany,48,63,1.31
CSL.AX,CSL,Australia,242,279,1.15
SQ,Square,USA,66,226,3.42
2010.SR,SABIC,S. Arabia,100,104,1.04
DTE.DE,DeutscheTelekom,Germany,15,15,1.0
601888.SS,ChinaTourismGroupDutyFree,China,89,272,3.06
AMD,AMD,USA,34,86,2.53
ENLAY,Enel,Italy,7,10,1.43
SNAP,Snap,USA,15,54,3.6
ISRG,IntuitiveSurgical,USA,535,765,1.43
ANTM,Anthem,USA,276,327,1.18
ZM,Zoom,USA,81,377,4.65
GSK,GlaxoSmithKline,UK,42,37,0.88
BKNG,Bookingcom,USA,1929,2192,1.14
UBER,Uber,USA,35,54,1.54
NPPXF,NipponTelegraphTelephone,Japan,48,26,0.54
SYK,StrykerCorporation,USA,209,240,1.15
MU,MicronTechnology,USA,45,79,1.76
NPSNY,Naspers,South Africa,31,45,1.45
BP,BP,UK,39,23,0.59
FIS,FidelityNationalInformationServices,USA,132,141,1.07
LRCX,LamResearch,USA,230,530,2.3
300760.SZ,Mindray,China,174,401,2.3
NOW,ServiceNow,USA,268,529,1.97
SPGI,SPGlobal,USA,251,340,1.35
MO,AltriaGroup,USA,47,44,0.94
603288.SS,FoshanHaitianFlavouringandFood,China,67,135,2.01
USB,USBancorp,USA,55,49,0.89
002415.SZ,Hikvision,China,31,54,1.74
PLD,Prologis,USA,85,103,1.21
BTI,BritishAmericanTobacco,UK,37,37,1.0
SBGSF,SchneiderElectric,France,89,149,1.67
